PrimeText,ImagineText,ColorText
"During the blocks in which you're presented with one of the names you typed,



Press SPACE to continue.",please make your decisions while imagining that person is in the room with you.,lightcoral
"During the blocks in which you're presented with the word ""High"",



Press SPACE to continue.",please make your decisions while considering that these trials have a high probability of being selected.,lightgreen
"During the blocks in which you're presented with the word ""Low"",



Press SPACE to continue.",please make your decisions while considering that these trials have a low probability of being selected.,skyblue
"During the blocks in which you see the word 'Choice',



Press SPACE to continue.","please make your decisions as you normally would, without any additional considerations.",gold
